date,symptom:ageusia,symptom:anosmia,symptom:chills,symptom:cough,symptom:diarrhea,symptom:fatigue,symptom:fever,symptom:headache,symptom:loss of smell,symptom:loss of taste,symptom:muscle weakness,symptom:nasal congestion,symptom:nausea,symptom:shortness of breath,symptom:sore throat,symptom:vomiting
2021-06-30,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281,5281
2021-07-01,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745,5745
2021-07-02,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657,4657
2021-07-03,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571
2021-07-04,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524
2021-07-05,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528
2021-07-06,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571,4571
2021-07-07,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888,4888
2021-07-08,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487,5487
2021-07-09,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805,4805
2021-07-10,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
2021-07-11,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825,1825
2021-07-12,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433,4433
2021-07-13,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005,5005
2021-07-14,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263,5263
2021-07-15,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951,5951
2021-07-16,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905,4905
2021-07-17,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766,1766
2021-07-18,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721,1721
2021-07-19,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668,4668
2021-07-20,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954,4954
2021-07-21,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991,4991
2021-07-22,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388,5388
2021-07-23,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076,5076
2021-07-24,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
2021-07-25,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
2021-07-26,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634,4634
2021-07-27,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161
2021-07-28,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407,5407
2021-07-29,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798,5798
2021-07-30,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479
2021-07-31,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848,1848
2021-08-01,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858,1858
2021-08-02,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573,4573
2021-08-03,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271,5271
2021-08-04,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011,5011
2021-08-05,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307,5307
2021-08-06,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963,4963
2021-08-07,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679
2021-08-08,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560
2021-08-09,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768,3768
2021-08-10,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126,5126
2021-08-11,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042,5042
2021-08-12,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575
2021-08-13,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340,4340
2021-08-14,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635
2021-08-15,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556
2021-08-16,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909,3909
2021-08-17,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760
2021-08-18,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585,4585
2021-08-19,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143,3143
2021-08-20,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913,2913
2021-08-21,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
2021-08-22,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
2021-08-23,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002,3002
2021-08-24,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517,3517
2021-08-25,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763
2021-08-26,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475,3475
2021-08-27,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454,3454
2021-08-28,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
2021-08-29,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551
2021-08-30,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255,3255
2021-08-31,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531,3531
2021-09-01,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305,4305
2021-09-02,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919,4919
2021-09-03,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037,5037
2021-09-04,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912,1912
2021-09-05,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637,1637
2021-09-06,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620,2620
2021-09-07,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709,4709
2021-09-08,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275
2021-09-09,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779,5779
2021-09-10,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413,5413
2021-09-11,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
2021-09-12,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006
2021-09-13,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760,4760
2021-09-14,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349,5349
2021-09-15,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477,5477
2021-09-16,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425,5425
2021-09-17,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398,5398
2021-09-18,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898
2021-09-19,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
2021-09-20,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512,4512
2021-09-21,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941,4941
2021-09-22,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573,5573
2021-09-23,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816,5816
2021-09-24,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227,5227
2021-09-25,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988
2021-09-26,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881
2021-09-27,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705,4705
2021-09-28,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302,5302
2021-09-29,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405,5405
2021-09-30,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775,5775
2021-10-01,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558,5558
2021-10-02,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
2021-10-03,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782,1782
2021-10-04,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655,4655
2021-10-05,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128,5128
2021-10-06,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252
2021-10-07,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697,5697
2021-10-08,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275,5275
2021-10-09,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822
2021-10-10,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753,1753
2021-10-11,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317,4317
2021-10-12,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928
2021-10-13,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286,5286
2021-10-14,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840,5840
2021-10-15,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135,5135
2021-10-16,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
2021-10-17,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745,1745
2021-10-18,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4866
2021-10-19,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468,5468
2021-10-20,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536,5536
2021-10-21,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026
2021-10-22,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777,5777
2021-10-23,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924,1924
2021-10-24,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881,1881
2021-10-25,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897,4897
2021-10-26,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061,5061
2021-10-27,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386,5386
2021-10-28,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791,4791
2021-10-29,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505,5505
2021-10-30,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047,2047
2021-10-31,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009
2021-11-01,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796,4796
2021-11-02,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473,5473
2021-11-03,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182,5182
2021-11-04,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597,5597
2021-11-05,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643,5643
2021-11-06,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
2021-11-07,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167,2167
2021-11-08,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074,5074
2021-11-09,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384,5384
2021-11-10,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479,5479
2021-11-11,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822,5822
2021-11-12,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440,5440
2021-11-13,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930,1930
2021-11-14,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
2021-11-15,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943,4943
2021-11-16,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326,5326
2021-11-17,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808,5808
2021-11-18,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278,6278
2021-11-19,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459,6459
2021-11-20,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264
2021-11-21,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362,1362
2021-11-22,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
2021-11-23,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838,3838
2021-11-24,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680,4680
2021-11-25,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355,2355
2021-11-26,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
2021-11-27,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
2021-11-28,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779,1779
2021-11-29,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564,4564
2021-11-30,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726,4726
2021-12-01,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178,5178
2021-12-02,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336,5336
2021-12-03,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854,4854
2021-12-04,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878
2021-12-05,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822
2021-12-06,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
2021-12-07,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725,4725
2021-12-08,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914,4914
2021-12-09,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125,6125
2021-12-10,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989,4989
2021-12-11,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751
2021-12-12,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822,1822
2021-12-13,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845
2021-12-14,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996,4996
2021-12-15,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184,5184
2021-12-16,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436,5436
2021-12-17,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819,4819
2021-12-18,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
2021-12-19,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828,1828
2021-12-20,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696,4696
2021-12-21,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798,4798
2021-12-22,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766,4766
2021-12-23,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419,4419
2021-12-24,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233
2021-12-25,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
2021-12-26,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
2021-12-27,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
2021-12-28,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
2021-12-29,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
2021-12-30,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
2021-12-31,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
